Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 5764 | Layer_2 20182 | Layer_3 42488
Epoch 00000 | Loss 2.5805 | Accuracy 0.5106 | Time : 0.7853 | loop 0.2536 | Model 0.5316 | x_y_time 0.0016 | pred 0.3032 | loss_time 0.0019
Epoch 00001 | Loss 1.8537 | Accuracy 0.5593 | Time : 0.6469 | loop 0.2323 | Model 0.4145 | x_y_time 0.0009 | pred 0.2398 | loss_time 0.0019
Epoch 00002 | Loss 1.6641 | Accuracy 0.5743 | Time : 0.6466 | loop 0.2316 | Model 0.4149 | x_y_time 0.0009 | pred 0.2400 | loss_time 0.0019
Epoch 00003 | Loss 1.5740 | Accuracy 0.5815 | Time : 0.6474 | loop 0.2305 | Model 0.4168 | x_y_time 0.0009 | pred 0.2397 | loss_time 0.0019
Epoch 00004 | Loss 1.5174 | Accuracy 0.5867 | Time : 0.6526 | loop 0.2331 | Model 0.4194 | x_y_time 0.0009 | pred 0.2402 | loss_time 0.0020
Epoch 00005 | Loss 1.4805 | Accuracy 0.5971 | Time : 0.6487 | loop 0.2304 | Model 0.4182 | x_y_time 0.0009 | pred 0.2394 | loss_time 0.0019
Epoch 00006 | Loss 1.4549 | Accuracy 0.6009 | Time : 0.6480 | loop 0.2308 | Model 0.4171 | x_y_time 0.0009 | pred 0.2405 | loss_time 0.0018
Epoch 00007 | Loss 1.4304 | Accuracy 0.6008 | Time : 0.6472 | loop 0.2315 | Model 0.4156 | x_y_time 0.0009 | pred 0.2409 | loss_time 0.0019
Epoch 00008 | Loss 1.4133 | Accuracy 0.5991 | Time : 0.6584 | loop 0.2356 | Model 0.4227 | x_y_time 0.0009 | pred 0.2438 | loss_time 0.0019
Epoch 00009 | Loss 1.4006 | Accuracy 0.6049 | Time : 0.6571 | loop 0.2351 | Model 0.4219 | x_y_time 0.0009 | pred 0.2433 | loss_time 0.0019
Epoch 00010 | Loss 1.3858 | Accuracy 0.6055 | Time : 0.6610 | loop 0.2367 | Model 0.4242 | x_y_time 0.0009 | pred 0.2449 | loss_time 0.0020
Epoch 00011 | Loss 1.3738 | Accuracy 0.6095 | Time : 2.0065 | loop 0.2370 | Model 1.7695 | x_y_time 0.0009 | pred 1.5904 | loss_time 0.0019
Epoch 00012 | Loss 1.3671 | Accuracy 0.6055 | Time : 0.6583 | loop 0.2358 | Model 0.4225 | x_y_time 0.0009 | pred 0.2435 | loss_time 0.0019
Epoch 00013 | Loss 1.3599 | Accuracy 0.6093 | Time : 0.6583 | loop 0.2359 | Model 0.4223 | x_y_time 0.0009 | pred 0.2437 | loss_time 0.0019
Epoch 00014 | Loss 1.3494 | Accuracy 0.6044 | Time : 0.6555 | loop 0.2347 | Model 0.4207 | x_y_time 0.0009 | pred 0.2430 | loss_time 0.0019
Epoch 00015 | Loss 1.3440 | Accuracy 0.6090 | Time : 0.6553 | loop 0.2342 | Model 0.4211 | x_y_time 0.0009 | pred 0.2434 | loss_time 0.0019
Epoch 00016 | Loss 1.3389 | Accuracy 0.6135 | Time : 0.6613 | loop 0.2360 | Model 0.4253 | x_y_time 0.0009 | pred 0.2434 | loss_time 0.0022
Epoch 00017 | Loss 1.3351 | Accuracy 0.6074 | Time : 0.6519 | loop 0.2323 | Model 0.4196 | x_y_time 0.0009 | pred 0.2405 | loss_time 0.0019
Epoch 00018 | Loss 1.3295 | Accuracy 0.6082 | Time : 0.6477 | loop 0.2301 | Model 0.4175 | x_y_time 0.0009 | pred 0.2400 | loss_time 0.0020
