Dataset = ogbn-products, batch_size = 1024
Layer_1 11000 | Layer_2 97649 | Layer_3 521106
Epoch 00000 | Loss 1.2475 | Accuracy 0.8559 | Time : 5.2693 | loop 1.6951 | Model 3.5740 | x_y_time 0.0035 | pred 2.6008 | loss_time 0.0017
Epoch 00001 | Loss 0.5793 | Accuracy 0.8756 | Time : 5.1383 | loop 1.6780 | Model 3.4601 | x_y_time 0.0020 | pred 2.5616 | loss_time 0.0017
Epoch 00002 | Loss 0.4850 | Accuracy 0.8821 | Time : 5.5110 | loop 1.7607 | Model 3.7501 | x_y_time 0.0023 | pred 2.5792 | loss_time 0.0041
Epoch 00003 | Loss 0.4468 | Accuracy 0.8900 | Time : 5.4082 | loop 1.7274 | Model 3.6807 | x_y_time 0.0022 | pred 2.5810 | loss_time 0.0016
Epoch 00004 | Loss 0.4145 | Accuracy 0.8946 | Time : 5.3730 | loop 1.7171 | Model 3.6558 | x_y_time 0.0021 | pred 2.5670 | loss_time 0.0016
Epoch 00005 | Loss 0.3952 | Accuracy 0.8970 | Time : 5.3371 | loop 1.6974 | Model 3.6396 | x_y_time 0.0021 | pred 2.5681 | loss_time 0.0015
Epoch 00006 | Loss 0.3824 | Accuracy 0.8977 | Time : 5.1687 | loop 1.6823 | Model 3.4863 | x_y_time 0.0020 | pred 2.5629 | loss_time 0.0019
Epoch 00007 | Loss 0.3724 | Accuracy 0.9013 | Time : 6.7438 | loop 1.7259 | Model 5.0177 | x_y_time 0.0022 | pred 2.5760 | loss_time 0.0021
Epoch 00008 | Loss 0.3614 | Accuracy 0.9013 | Time : 5.3909 | loop 1.7445 | Model 3.6462 | x_y_time 0.0022 | pred 2.5835 | loss_time 0.0016
Epoch 00009 | Loss 0.3534 | Accuracy 0.8995 | Time : 5.1090 | loop 1.6790 | Model 3.4299 | x_y_time 0.0020 | pred 2.5641 | loss_time 0.0015
Epoch 00010 | Loss 0.3470 | Accuracy 0.9044 | Time : 5.1927 | loop 1.6893 | Model 3.5032 | x_y_time 0.0020 | pred 2.5685 | loss_time 0.0041
Epoch 00011 | Loss 0.3414 | Accuracy 0.9031 | Time : 5.5891 | loop 1.7841 | Model 3.8048 | x_y_time 0.0025 | pred 2.5950 | loss_time 0.0037
Epoch 00012 | Loss 0.3386 | Accuracy 0.9041 | Time : 6.8785 | loop 1.7460 | Model 5.1323 | x_y_time 0.0023 | pred 2.5808 | loss_time 0.0042
