Dataset = ogbn-arxiv, batch_size = 2048
Layer_1 8549 | Layer_2 26201 | Layer_3 60897
Epoch 00000 | Loss 3.0657 | Accuracy 0.3803 | Time : 4.8287 | loop 1.4313 | Model 3.3966 | x_y_time 0.0114 | pred 1.8634 | loss_time 0.0192
Epoch 00001 | Loss 2.3783 | Accuracy 0.4797 | Time : 3.0791 | loop 1.2362 | Model 1.8421 | x_y_time 0.0069 | pred 1.0310 | loss_time 0.0178
Epoch 00002 | Loss 2.0713 | Accuracy 0.5213 | Time : 3.0891 | loop 1.2399 | Model 1.8485 | x_y_time 0.0069 | pred 1.0340 | loss_time 0.0177
Epoch 00003 | Loss 1.9021 | Accuracy 0.5380 | Time : 3.1141 | loop 1.2545 | Model 1.8588 | x_y_time 0.0070 | pred 1.0444 | loss_time 0.0177
Epoch 00004 | Loss 1.8058 | Accuracy 0.5518 | Time : 3.0703 | loop 1.2331 | Model 1.8365 | x_y_time 0.0067 | pred 1.0282 | loss_time 0.0178
Epoch 00005 | Loss 1.7479 | Accuracy 0.5565 | Time : 3.0899 | loop 1.2431 | Model 1.8460 | x_y_time 0.0069 | pred 1.0325 | loss_time 0.0183
Epoch 00006 | Loss 1.6945 | Accuracy 0.5632 | Time : 3.0720 | loop 1.2307 | Model 1.8405 | x_y_time 0.0070 | pred 1.0254 | loss_time 0.0178
Epoch 00007 | Loss 1.6597 | Accuracy 0.5695 | Time : 3.0427 | loop 1.2141 | Model 1.8277 | x_y_time 0.0071 | pred 1.0133 | loss_time 0.0178
Epoch 00008 | Loss 1.6412 | Accuracy 0.5721 | Time : 3.0607 | loop 1.2288 | Model 1.8311 | x_y_time 0.0069 | pred 1.0197 | loss_time 0.0177
Epoch 00009 | Loss 1.6126 | Accuracy 0.5714 | Time : 3.0481 | loop 1.2179 | Model 1.8294 | x_y_time 0.0069 | pred 1.0180 | loss_time 0.0178
Epoch 00010 | Loss 1.5949 | Accuracy 0.5786 | Time : 3.0401 | loop 1.2169 | Model 1.8224 | x_y_time 0.0069 | pred 1.0192 | loss_time 0.0181
Epoch 00011 | Loss 1.5762 | Accuracy 0.5764 | Time : 3.0536 | loop 1.2250 | Model 1.8278 | x_y_time 0.0071 | pred 1.0150 | loss_time 0.0178
Epoch 00012 | Loss 1.5609 | Accuracy 0.5759 | Time : 3.0319 | loop 1.2225 | Model 1.8087 | x_y_time 0.0068 | pred 1.0106 | loss_time 0.0178
Epoch 00013 | Loss 1.5513 | Accuracy 0.5796 | Time : 3.0356 | loop 1.2189 | Model 1.8159 | x_y_time 0.0072 | pred 1.0116 | loss_time 0.0175
Epoch 00014 | Loss 1.5411 | Accuracy 0.5830 | Time : 3.0557 | loop 1.2168 | Model 1.8381 | x_y_time 0.0070 | pred 1.0219 | loss_time 0.0178
Epoch 00015 | Loss 1.5284 | Accuracy 0.5822 | Time : 3.0392 | loop 1.2200 | Model 1.8185 | x_y_time 0.0070 | pred 1.0144 | loss_time 0.0179
