Dataset = ogbn-products, batch_size = 1024
Layer_1 10185 | Layer_2 51048 | Layer_3 122216
Epoch 00000 | Loss 1.4359 | Accuracy 0.8394 | Time : 25.8932 | loop 15.1690 | Model 10.7220 | x_y_time 0.0526 | pred 6.5071 | loss_time 0.0182
Epoch 00001 | Loss 0.7092 | Accuracy 0.8628 | Time : 15.1734 | loop 5.7769 | Model 9.3944 | x_y_time 0.0327 | pred 5.8701 | loss_time 0.0178
Epoch 00002 | Loss 0.5978 | Accuracy 0.8719 | Time : 15.2941 | loop 5.8797 | Model 9.4122 | x_y_time 0.0337 | pred 5.8968 | loss_time 0.0200
Epoch 00003 | Loss 0.5442 | Accuracy 0.8762 | Time : 15.4310 | loop 5.9474 | Model 9.4815 | x_y_time 0.0347 | pred 5.9660 | loss_time 0.0178
Epoch 00004 | Loss 0.5083 | Accuracy 0.8783 | Time : 15.3867 | loop 5.9552 | Model 9.4293 | x_y_time 0.0388 | pred 5.8847 | loss_time 0.0182
Epoch 00005 | Loss 0.4814 | Accuracy 0.8837 | Time : 15.4033 | loop 6.0366 | Model 9.3645 | x_y_time 0.0424 | pred 5.7802 | loss_time 0.0179
Epoch 00006 | Loss 0.4652 | Accuracy 0.8854 | Time : 15.2634 | loop 5.8622 | Model 9.3990 | x_y_time 0.0362 | pred 5.8759 | loss_time 0.0186
Epoch 00007 | Loss 0.4494 | Accuracy 0.8875 | Time : 15.1774 | loop 5.8246 | Model 9.3502 | x_y_time 0.0342 | pred 5.8805 | loss_time 0.0178
Epoch 00008 | Loss 0.4364 | Accuracy 0.8883 | Time : 15.2041 | loop 5.8462 | Model 9.3558 | x_y_time 0.0340 | pred 5.8877 | loss_time 0.0177
Epoch 00009 | Loss 0.4267 | Accuracy 0.8900 | Time : 15.3658 | loop 5.9434 | Model 9.4203 | x_y_time 0.0346 | pred 5.9086 | loss_time 0.0176
Epoch 00010 | Loss 0.4178 | Accuracy 0.8883 | Time : 15.0275 | loop 5.7455 | Model 9.2799 | x_y_time 0.0329 | pred 5.8125 | loss_time 0.0179
Epoch 00011 | Loss 0.4127 | Accuracy 0.8919 | Time : 15.1841 | loop 5.8475 | Model 9.3344 | x_y_time 0.0354 | pred 5.8683 | loss_time 0.0179
Epoch 00012 | Loss 0.4054 | Accuracy 0.8930 | Time : 15.1374 | loop 5.8211 | Model 9.3141 | x_y_time 0.0334 | pred 5.8485 | loss_time 0.0180
Epoch 00013 | Loss 0.3997 | Accuracy 0.8935 | Time : 15.4582 | loop 6.0032 | Model 9.4529 | x_y_time 0.0360 | pred 5.9792 | loss_time 0.0169
Epoch 00014 | Loss 0.3966 | Accuracy 0.8932 | Time : 15.1846 | loop 5.7747 | Model 9.4078 | x_y_time 0.0326 | pred 5.8834 | loss_time 0.0246
Epoch 00015 | Loss 0.3918 | Accuracy 0.8939 | Time : 15.6143 | loop 5.7971 | Model 9.8151 | x_y_time 0.0340 | pred 6.1622 | loss_time 0.0275
Epoch 00016 | Loss 0.3891 | Accuracy 0.8951 | Time : 15.4485 | loop 5.7905 | Model 9.6560 | x_y_time 0.0331 | pred 6.0608 | loss_time 0.0253
Epoch 00017 | Loss 0.3867 | Accuracy 0.8958 | Time : 15.4783 | loop 5.7919 | Model 9.6842 | x_y_time 0.0345 | pred 6.0618 | loss_time 0.0264
Epoch 00018 | Loss 0.3849 | Accuracy 0.8952 | Time : 15.5353 | loop 5.8246 | Model 9.7084 | x_y_time 0.0344 | pred 6.0854 | loss_time 0.0274
Epoch 00019 | Loss 0.3805 | Accuracy 0.8960 | Time : 15.5940 | loop 5.8739 | Model 9.7179 | x_y_time 0.0336 | pred 6.0975 | loss_time 0.0268
Epoch 00020 | Loss 0.3780 | Accuracy 0.8965 | Time : 15.6578 | loop 5.8259 | Model 9.8297 | x_y_time 0.0331 | pred 6.1984 | loss_time 0.0269
